pmid,title,abstract,include/exclude
27989839,Cilostazol and enzymatically modified isoquercitrin attenuate experimental colitis and colon cancer in mice by inhibiting cell proliferation and inflammation.,"We previously reported the anti-inflammatory effects of cilostazol, a selective inhibitor of phosphodiesterase 3, and two antioxidants, enzymatically modified isoquercitrin and Î±-lipoic acid in a dextran sodium sulphate-induced colitis mouse model. We further examined the chemopreventive effects of these substances in a murine azoxymethane/dextran sodium sulphate -induced colorectal carcinoma model and compared the effects with those of the well-known anticancer natural plant pigment, anthocyanin. In addition, the effects on cell proliferation activity were evaluated in colon cancer cell lines and mucosal epithelial cells in a model of acute dextran sodium sulphate-induced colitis. Cilostazol and enzymatically modified isoquercitrin improved the outcome of azoxymethane/dextran sodium sulphate-induced colorectal cancer along with anthocyanin though inhibiting inflammation and cell proliferation, but the effect of Î±-lipoic acid was minimal. Inhibition of cell proliferation by cilostazol was confirmed inÂ vitro. In the acute dextran sodium sulphate-induced colitis model, cilostazol and enzymatically modified isoquercitrin prevented the decrease in epithelial proliferative cells. These results indicate that cilostazol and enzymatically modified isoquercitrin first exhibited an anti-dextran sodium sulphate effect at the initial stage of colitis and then showed antitumour effects throughout subsequent inflammation-related cancer developmental stages.",include
26878064,Zinc Ionophore (Clioquinol) Inhibition of Human ZIP1-Deficient Prostate Tumor Growth in the Mouse Ectopic Xenograft Model: A Zinc Approach for the Efficacious Treatment of Prostate Cancer.,"Prostate cancer remains the second leading cause of cancer deaths in males. This is mainly due to the absence of an available efficacious chemotherapy despite decades of research in pursuit of effective treatment approaches. A plausible target for the treatment is the established clinical relationship that the zinc levels in the malignant cells are markedly decreased compared to the normal epithelium in virtually all cases of prostate cancer, and at all stages malignancy. The decrease in zinc results from the downregulation of the functional zinc uptake transporter, ZIP1; which occurs during early development of prostate malignancy. This is an essential requirement for the development of malignancy to prevent the cytotoxic/tumor-suppressor effects of increased zinc on the premalignant and malignant cells. Thus prostate cancer is a ZIP1-deficient malignancy. This relationship provides the basis for a treatment regimen that will facilitate the uptake and accumulation of zinc into the premalignant and malignant cells. In this report we employed a zinc ionophore (clioquinol) approach in the treatment of mice with human ZIP1-deficient prostate tumors (ectopic xenograft model). Clioquinol treatment resulted in 85%inhibition of tumor growth due to the cytotoxic effects of zinc. Coupled with additional results from earlier studies, the compelling evidence provides a plausible approach for the effective treatment of human prostate cancer; including primary site malignancy, hormone-resistant cancer, and metastasis. Additionally, this approach might be effective in preventing the development of malignancy in individuals suspected of presenting with early development of malignancy. Clinical trials are now required in leading to the potential for an efficacious zinc-treatment approach, which is urgently needed for the treatment of prostate cancer.",include
23999004,Antitumor activity of histamine and clozapine in a mouse experimental model of human melanoma.,"BACKGROUND: Functional presence of histamine H4 receptor (H4R) was demonstrated in human melanoma cell lines and biopsies. OBJECTIVE: The purposes of this work were to investigate signal transduction pathways and biological responses triggered by the activation of H4R in human primary (WM35) and metastatic (M1/15) melanoma cell lines and to evaluate the in vivo antitumor activity of histamine (HA) and clozapine (CLZ) on human M1/15 melanoma xenografts. METHODS: Clonogenic assay, incorporation of BrdU, cell cycle distribution, phosphorylation levels of ERK1/2 and cAMP production were evaluated in vitro. An experimental human melanoma model was developed into athymic nude mice. Tumor growth, survival and histochemical studies were performed in order to investigate the expression levels of H4R, HA, PCNA, mitotic index (MI), and angiogenesis. RESULTS: The results indicate that H4R agonists inhibited forskolin-induced cAMP levels only in M1/15 cells while increased phosphorylation levels of ERK1/2 and decreased proliferation in both cell types. In vivo studies show that HA and CLZ (1mgkg(-1), sc) significantly increased median survival and decreased tumor volume. These effects were associated to a reduction in MI, in the expression of proliferation marker and in intratumoral neovascularization. CONCLUSIONS: We conclude that HA and CLZ exhibit an antitumoral effect in vitro and in vivo on human melanoma, suggesting the therapeutic potential of these compounds for the treatment of malignant melanoma.",include
20798593,Use of dabigatran etexilate to reduce breast cancer progression.,"Coagulation proteases and the generation of thrombin are increased in breast tumor epithelial and stromal cells. Since thrombin can modify tumor cell behavior directly through the activation of protease-activated receptors (PARs) or indirectly by generating fibrin matrices, the effect of dabigatran etexilate, a direct thrombin inhibitor, on breast cancer development was evaluated. Dabigatran inhibited invasiveness of MDA-MB-231 breast carcinoma cells across Matrigel-coated membranes at concentrations that had no effect on the proliferation index of cultured tumor cells. In vivo evaluation of invasiveness of MDA-MB-231 cells in tracheal xenotransplants in nude mice orally administered dabigatran etexilate twice daily at a dose of 45 mg/kg over 4 weeks demonstrated less invasion of tumor cells through the tracheal wall compared to vehicle-treated mice. To evaluate the effect of dabigatran on the development of metastatic foci, 4T1 tumor cells were injected orthotopically in the mammary fat pads of syngeneic Balb/c mice. Dabigatran etexilate treatment exhibited evidence of antitumor activity with a 50% reduction in tumor volume at 4 weeks following orthotopic injection of 4T1 cells in syngeneic Balb/c mice with no weight loss in treated mice. Dabigatran etexilate reduced both 4T1 tumor cells in the blood and liver micrometastases by 50-60%. These results suggest that oral administration of the direct thrombin inhibitor, dabigatran etexilate, inhibits both invasion and metastasis of malignant breast tumors, suggesting that it may be beneficial in not only preventing thrombotic events in cancer patients, but also as adjunct therapy to treat malignant tumors.",include
30685222,A study in a rat initiation-promotion bladder tumour model demonstrated no promoter/progressor potential of dapagliflozin.,"Dapagliflozin, a sodium-glucose co-transporter 2 (SGLT2) inhibitor, is indicated to improve glycaemic control in adults of type 2 diabetes. In nonclinical studies, dapagliflozin was neither genotoxic nor carcinogenic. However, in some clinical studies, an increased incidence of bladder cancer was observed in the dapagliflozin group vs. the placebo. Therefore, this study was undertaken to determine if dapagliflozin can act as a promoter in a 2-stage bladder cancer model in rats induced with N-butyl-N-(4-hydroxybutyl)-nitrosamine (BBN). Rats given BBN (100 or 400â€¯mg/kg, po) twice weekly for 6 weeks in Phase 1 were assigned in Phase 2 to receive daily dose of vehicle, dapagliflozin (0.5â€¯mg/kg, po) or uracil (positive control, 3% in diet) from weeks 8-34. All bladders were evaluated by histopathology. Verifying the validity of the model, uracil increased the incidence of bladder cancer, while dapagliflozin had no effect on the incidence or invasiveness of transitional cell carcinoma. The exposure of dapagliflozin at 0.5â€¯mg/kg/day in rats was 7 times the clinical exposure at maximal therapeutic dose (10â€¯mg). In conclusion, dapagliflozin does not act as promoter or progressor of bladder cancer in a validated bladder cancer model in rats.",include
27833388,"Effects of an oral iron chelator, deferasirox, on advanced hepatocellular carcinoma.","AIM: To evaluate the inhibitory effects of deferasirox (DFX) against hepatocellular carcinoma (HCC) through basic and clinical studies. METHODS: In the basic study, the effect of DFX was investigated in three hepatoma cell lines (HepG2, Hep3B, and Huh7), as well as in an N-nitrosodiethylamine-induced murine HCC model. In the clinical study, six advanced HCC patients refractory to chemotherapy were enrolled. The initial dose of DFX was 10 mg/kg per day and was increased by 10 mg/kg per day every week, until the maximum dose of 30 mg/kg per day. The duration of a single course of DFX therapy was 28 consecutive days. In the event of dose-limiting toxicity (according to the Common Terminology Criteria for Adverse Events v.4.0), DFX dose was reduced. RESULTS: Administration of DFX inhibited the proliferation of hepatoma cell lines and induced the activation of caspase-3 in a dose-dependent manner <i>in vitro</i>. In the murine model, DFX treatment significantly suppressed the development of liver tumors (<i>P</i> < 0.01), and significantly upregulated the mRNA expression levels of hepcidin (<i>P</i> < 0.05), transferrin receptor 1 (<i>P</i> < 0.05), and hypoxia inducible factor-1Î± (<i>P</i> < 0.05) in both tumor and non-tumor tissues, compared with control mice. In the clinical study, anorexia and elevated serum creatinine were observed in four and all six patients, respectively. However, reduction in DFX dose led to decrease in serum creatinine levels in all patients. After the first course of DFX, one patient discontinued the therapy. We assessed the tumor response in the remaining five patients; one patient exhibited stable disease, while four patients exhibited progressive disease. The one-year survival rate of the six patients was 17%. CONCLUSION: We demonstrated that DFX inhibited HCC in the basic study, but not in the clinical study due to dose-limiting toxicities.",include
29983871,"Deferasirox, an oral iron chelator, with gemcitabine synergistically inhibits pancreatic cancer cell growth <i>in vitro</i> and <i>in vivo</i>.","Objectives: Iron is an essential element for cell proliferation and growth processes. We have reported that deferasirox (DFX), an oral iron chelator, showed antiproliferative activity against pancreatic cancer cells. This study aimed to elucidate the effects of combination of gemcitabine (GEM), standard chemotherapy for pancreatic cancer, and DFX <i>in vitro</i> and <i>in vivo</i>. Results: GEM+DFX showed antiproliferative activity and induced apoptosis in pancreatic cancer cells <i>in vitro</i>. GEM+DFX suppressed xenograft tumor growth and induced apoptosis without any serious side effects compared with control, GEM, and DFX (average tumor volume: control 697 mm<sup>3</sup> vs GEM 372 mm<sup>3</sup>, <i>p</i> < 0.05; GEM 372 mm<sup>3</sup> vs GEM+DFX 234 mm<sup>3</sup>, <i>p</i> < 0.05). RRM1 and RRM2 protein levels were substantially reduced by DFX in BxPC-3 <i>in vitro</i>. Conclusion: GEM+DFX has significant anticancer effects on pancreatic cancer cell through RR activity suppression. Methods: BxPC-3, a human pancreatic cancer cell line, was used in all experiments. Cellular proliferation rate was measured using 3-(4,5-dimethylthiazol-2-yl)-5-(3-carboxymethoxyphenyl)-2-(4-sulfophenyl)-2H-tetrazolium, inner salt assay. Apoptosis was evaluated by flow cytometry and by measuring caspase 3/7 activity with luminescence assay. In the tumor xenografts in nude mice models, when five weeks after engraftment, drug administration began (day 0). After treatment for 21 days, the mice were sacrificed and the tumors were excised. Apoptotic cells in xenografts were evaluated by terminal deoxynucleotidyl transferase deoxyuridine triphosphate nick-end labeling assay. Protein levels of ribonucleotide reductase (RR) subunit 1 (RRM1) and RR subunit 2 (RRM2) in BxPC-3 cells were assessed by western blot <i>in vitro</i>.",include
23074173,"The iron chelator, deferasirox, as a novel strategy for cancer treatment: oral activity against human lung tumor xenografts and molecular mechanism of action.","Deferasirox is an orally effective iron (Fe) chelator currently used for the treatment of iron-overload disease and has been implemented as an alternative to the gold standard chelator, desferrioxamine (DFO). Earlier studies demonstrated that DFO exhibits anticancer activity due to its ability to deplete cancer cells of iron. In this investigation, we examined the in vitro and in vivo activity of deferasirox against cells from human solid tumors. To date, there have been no studies to investigate the effect of deferasirox on these types of tumors in vivo. Deferasirox demonstrated similar activity at inhibiting proliferation of DMS-53 lung carcinoma and SK-N-MC neuroepithelioma cell lines compared with DFO. Furthermore, deferasirox was generally similar or slightly more effective than DFO at mobilizing cellular (59)Fe and inhibiting iron uptake from human transferrin depending on the cell type. However, deferasirox potently inhibited DMS-53 xenograft growth in nude mice when given by oral gavage, with no marked alterations in normal tissue histology. To understand the antitumor activity of deferasirox, we investigated its effect on the expression of molecules that play key roles in metastasis, cell cycle control, and apoptosis. We demonstrated that deferasirox increased expression of the metastasis suppressor protein N-myc downstream-regulated gene 1 and upregulated the cyclin-dependent kinase inhibitor p21(CIP1/WAF1) while decreasing cyclin D1 levels. Moreover, this agent increased the expression of apoptosis markers, including cleaved caspase-3 and cleaved poly(ADP-ribose) polymerase 1. Collectively, we demonstrate that deferasirox is an orally effective antitumor agent against solid tumors.",include
24908354,The growth-inhibitory and apoptosis-inducing effect of deferoxamine combined with arsenic trioxide on HL-60 xenografts in nude mice.,"OBJECTIVE: The aim of this study is to investigate the growth-inhibitory and apoptosis-inducing effect of deferoxamine (DFO) combined with arsenic trioxide (ATO) on the human HL-60 xenografts in nude mice and its mechanism. METHOD: The highly tumorigenic leukemia cell line HL-60 cells were inoculated subcutaneously into nude mice to establish a human leukemia xenograft model. The HL-60 xenograft nude mice models were randomly divided into four groups: control (Normal saline, NS), 50mg/kg DFO, 3mg/kg ATO, the combined treatment (50mg/kg DFO+1.5mg/kg ATO) once HL-60 cells were inoculated. Tumor sizes, growth curves, inhibitory rates, cell apoptosis, and the expression of apoptosis related markers were measured to evaluate the tumor growth. RESULTS: Xenografted tumors were observed in all nude mice since the 5th day of inoculation. The inhibitory rates of tumor weight were 2.67%, 10.69%, and 25.57% in DFO, ATO and combination therapy groups, respectively. The combination of DFO with ATO induces significantly more tumor cell apoptosis than either agent alone (p<0.05). The expression of NF-ÎºBp65 and survivin proteins decreased significantly while the expression of Caspase-3 and Bax increased in the combination therapy group (p<0.05). Double immunofluorescence for Caspase-3 and NFÎºBp65 demonstrated an inverse relationship between Caspase-3-positive areas and NFÎºBp65-positive areas, as well as the co-localization of Bax and survivin in xenografted tumor cells. CONCLUSIONS: Combination of DFO and ATO has synergistic effects on tumor growth inhibition and apoptosis-inducing in vivo with no significant side effects. The DFO and ATO can up-regulate the expression of Caspase-3 and Bax, and down-regulate the expression of NF-ÎºBp65 and survivin, especially for their combination.",include
29269744,Econazole nitrate inhibits PI3K activity and promotes apoptosis in lung cancer cells.,"The phosphatidylinositol-3-kinase (PI3K)/AKT signaling pathway plays a pivotal role in many cellular processes, including the proliferation, survival and differentiation of lung cancer cells. Thus, PI3K is a promising therapeutic target for lung cancer treatment. In this study, we applied free and open-source protein-ligand docking software, screened 3167 FDA-approved small molecules, and identified putative PI3KÎ± inhibitors. Among them, econazole nitrate, an antifungal agent, exhibited the highest activity in decreasing cell viability in pathological types of NSCLC cell lines, including H661 (large cell lung cancer) and A549 (adenocarcinoma). Econazole decreased the protein levels of p-AKT and Bcl-2, but had no effect on the phosphorylation level of ERK. It inhibited cell growth and promote apoptosis in a dose-dependent manner. Furthermore, the combination of econazole and cisplatin exhibited additive and synergistic effects in the H661 and A549 lung cancer cell lines, respectively. Finally, we demonstrated that econazole significantly suppressed A549 tumor growth in nude mice. Our findings suggest that econazole is a new PI3K inhibitor and a potential drug that can be used in lung cancer treatment alone or in combination with cisplatin.",include
